x,phi_uds,phi_cds
0,0,0
0.1,8.26909e-08,-0.00069695
0.2,5.78836e-07,0.000929267
0.3,3.55571e-06,-0.00286524
0.4,2.14169e-05,0.00598861
0.5,0.000128584,-0.0146704
0.6,0.000771588,0.0335339
0.7,0.00462961,-0.0789427
0.8,0.0277778,0.183503
0.9,0.166667,-0.42887
1,1,1
