step	runtime	x	y	z	vpar	mu	vz	Bx	By	Bz
900	6.300000e-07	2.357686e-01	2.804257e-02	1.152994e-03	6.690309e+04	5.709071e-23	-5.263152e-03	4.503144e-02	1.706364e-03
925	6.475000e-07	2.356771e-01	2.881718e-02	1.182047e-03	6.690309e+04	5.709071e-23	-5.398998e-03	4.501991e-02	1.692253e-03
950	6.650000e-07	2.355833e-01	2.959152e-02	1.210857e-03	6.690309e+04	5.709071e-23	-5.534308e-03	4.500791e-02	1.678054e-03
975	6.825000e-07	2.354871e-01	3.036558e-02	1.239433e-03	6.690309e+04	5.709071e-23	-5.669721e-03	4.499613e-02	1.664282e-03
1000	7.000000e-07	2.353886e-01	3.113936e-02	1.267780e-03	6.690309e+04	5.709071e-23	-5.805240e-03	4.498455e-02	1.650937e-03
1025	7.175000e-07	2.352878e-01	3.191284e-02	1.295905e-03	6.690309e+04	5.709071e-23	-5.940871e-03	4.497317e-02	1.638021e-03
1050	7.350000e-07	2.351847e-01	3.268604e-02	1.323816e-03	6.690309e+04	5.709071e-23	-6.076617e-03	4.496199e-02	1.625533e-03
1075	7.525000e-07	2.350793e-01	3.345892e-02	1.351520e-03	6.690309e+04	5.709071e-23	-6.212481e-03	4.495099e-02	1.613476e-03
1100	7.700000e-07	2.349715e-01	3.423149e-02	1.379024e-03	6.690309e+04	5.709071e-23	-6.348469e-03	4.494017e-02	1.601849e-03
1125	7.875000e-07	2.348614e-01	3.500375e-02	1.406335e-03	6.690309e+04	5.709071e-23	-6.484583e-03	4.492952e-02	1.590654e-03
1150	8.050000e-07	2.347490e-01	3.577567e-02	1.433460e-03	6.690309e+04	5.709071e-23	-6.620828e-03	4.491905e-02	1.579891e-03
1175	8.225000e-07	2.346343e-01	3.654726e-02	1.460406e-03	6.690309e+04	5.709071e-23	-6.757208e-03	4.490873e-02	1.569562e-03
1200	8.400000e-07	2.345173e-01	3.731851e-02	1.487180e-03	6.690309e+04	5.709071e-23	-6.893727e-03	4.489858e-02	1.559666e-03
1225	8.575000e-07	2.343980e-01	3.808941e-02	1.513777e-03	6.690309e+04	5.709071e-23	-7.023802e-03	4.488151e-02	1.547860e-03
1250	8.750000e-07	2.342765e-01	3.885998e-02	1.540178e-03	6.690309e+04	5.709071e-23	-7.153404e-03	4.486351e-02	1.536753e-03
1275	8.925000e-07	2.341527e-01	3.963020e-02	1.566401e-03	6.690309e+04	5.709071e-23	-7.283446e-03	4.484585e-02	1.526184e-03
