ts,time,wall_time,mp_count.O,real_count.O,px.O,py.O,pz.O,KE.O,PE,E_total
40,4.1e-06,20.0118,455501,4.55501e+17,7.49871e-10,8.43836e-09,8.47218e-05,0.303607,1.70933e-08,0.303607
41,4.2e-06,20.7733,466503,4.66503e+17,1.97492e-09,8.40642e-09,8.6769e-05,0.310946,1.70933e-08,0.310946
42,4.3e-06,21.575,477518,4.77518e+17,3.07744e-09,6.30108e-09,8.88198e-05,0.3183,1.70933e-08,0.3183
43,4.4e-06,22.3723,488542,4.88542e+17,4.48181e-09,7.77225e-09,9.08683e-05,0.325634,1.70933e-08,0.325634
44,4.5e-06,23.1859,499554,4.99554e+17,4.31369e-09,6.16348e-09,9.29201e-05,0.332999,1.70933e-08,0.332999
45,4.6e-06,24.0483,510561,5.10561e+17,3.3793e-09,3.63967e-09,9.49661e-05,0.340325,1.70933e-08,0.340325
46,4.7e-06,24.8959,521573,5.21573e+17,4.05112e-09,2.37541e-09,9.70176e-05,0.347688,1.70933e-08,0.347688
47,4.8e-06,25.8022,532576,5.32576e+17,5.83641e-09,3.71199e-09,9.90645e-05,0.355023,1.70933e-08,0.355023
48,4.9e-06,26.6864,543573,5.43573e+17,5.91344e-09,1.17925e-09,0.00010111,0.362354,1.70933e-08,0.362354
49,5e-06,27.6094,554566,5.54566e+17,6.46799e-09,2.2177e-09,0.000103156,0.369688,1.70933e-08,0.369688
50,5.1e-06,28.5296,565554,5.65554e+17,5.29763e-09,2.12119e-09,0.000105198,0.376998,1.70933e-08,0.376998
51,5.2e-06,29.6296,576556,5.76556e+17,3.94375e-09,4.64361e-09,0.000107242,0.384312,1.70933e-08,0.384312
52,5.3e-06,30.58,587518,5.87518e+17,3.2028e-09,6.25317e-09,0.000109281,0.391622,1.70933e-08,0.391622
53,5.4e-06,31.6085,598508,5.98508e+17,2.49927e-09,6.90318e-09,0.00011132,0.39891,1.70933e-08,0.39891
54,5.5e-06,32.5977,609467,6.09467e+17,5.14705e-09,6.3625e-09,0.000113357,0.406202,1.70933e-08,0.406202
55,5.6e-06,33.6282,620442,6.20442e+17,7.37445e-09,7.30049e-09,0.000115399,0.413524,1.70933e-08,0.413524
56,5.7e-06,34.6515,631403,6.31403e+17,7.39239e-09,1.00373e-08,0.000117437,0.420825,1.70933e-08,0.420825
57,5.8e-06,35.7143,642380,6.4238e+17,8.68253e-09,1.12656e-08,0.00011948,0.428151,1.70933e-08,0.428151
58,5.9e-06,36.7702,653343,6.53343e+17,9.46363e-09,1.33955e-08,0.000121519,0.43546,1.70933e-08,0.43546
59,6e-06,37.8713,664316,6.64316e+17,1.03541e-08,1.36533e-08,0.000123557,0.442746,1.70933e-08,0.442746
60,6.1e-06,38.9582,675246,6.75246e+17,8.7761e-09,1.2536e-08,0.000125589,0.450031,1.70933e-08,0.450031
61,6.2e-06,40.1002,686192,6.86192e+17,8.57651e-09,1.17806e-08,0.000127626,0.457331,1.70933e-08,0.457331
62,6.3e-06,41.2334,697139,6.97139e+17,1.05286e-08,1.02036e-08,0.000129666,0.46465,1.70933e-08,0.46465
63,6.4e-06,42.4046,708041,7.08041e+17,1.07848e-08,8.0763e-09,0.000131694,0.471922,1.70933e-08,0.471922
64,6.5e-06,43.588,718957,7.18957e+17,8.79476e-09,7.93668e-09,0.000133728,0.479222,1.70933e-08,0.479222
65,6.6e-06,44.7632,729870,7.2987e+17,7.66066e-09,8.74833e-09,0.000135759,0.486506,1.70933e-08,0.486506
66,6.7e-06,45.9946,740796,7.40796e+17,6.33659e-09,9.7308e-09,0.000137791,0.49378,1.70933e-08,0.49378
67,6.8e-06,47.2164,751719,7.51719e+17,7.0729e-09,1.05565e-08,0.000139822,0.50106,1.70933e-08,0.50106
68,6.9e-06,48.47,762665,7.62665e+17,7.19538e-09,1.28095e-08,0.000141858,0.508355,1.70933e-08,0.508355
69,7e-06,49.7477,773559,7.73559e+17,1.01269e-08,1.34317e-08,0.000143884,0.515615,1.70933e-08,0.515615
70,7.1e-06,51.0233,784486,7.84486e+17,9.77024e-09,1.26077e-08,0.000145918,0.52291,1.70933e-08,0.52291
71,7.2e-06,52.3353,795389,7.95389e+17,9.52959e-09,1.1262e-08,0.000147946,0.530173,1.70933e-08,0.530173
72,7.3e-06,53.6602,806280,8.0628e+17,1.1369e-08,1.36993e-08,0.000149971,0.537427,1.70933e-08,0.537427
73,7.4e-06,54.9797,817185,8.17185e+17,1.35577e-08,1.32496e-08,0.000151998,0.544688,1.70933e-08,0.544688
74,7.5e-06,56.3449,828087,8.28087e+17,1.27458e-08,1.2123e-08,0.000154025,0.551946,1.70933e-08,0.551946
75,7.6e-06,57.7263,838986,8.38986e+17,1.47467e-08,1.31505e-08,0.000156052,0.559211,1.70933e-08,0.559211
76,7.7e-06,59.1035,849879,8.49879e+17,1.37795e-08,1.21485e-08,0.000158079,0.566478,1.70933e-08,0.566478
